Date,Close,Open,High,Low,Vol.,Change %
3/21/2025,196.21,192.9,196.99,192.52,60.06M,0.65%
3/20/2025,194.95,193.07,199.32,192.3,38.92M,-0.30%
3/19/2025,195.54,193.38,195.96,191.96,39.44M,1.41%
3/18/2025,192.82,192.52,194,189.38,40.41M,-1.49%
3/17/2025,195.74,198.77,199,194.32,47.34M,-1.12%
3/14/2025,197.95,197.41,198.65,195.32,38.10M,2.09%
3/13/2025,193.89,198.16,198.88,191.82,41.27M,-2.51%
3/12/2025,198.89,200.72,201.52,195.29,43.68M,1.17%
3/11/2025,196.59,193.9,200.18,193.4,54.00M,1.05%
3/10/2025,194.54,195.6,196.73,190.85,62.35M,-2.36%
3/7/2025,199.25,199.49,202.27,192.53,59.80M,-0.72%
3/6/2025,200.7,204.4,205.77,198.3,49.86M,-3.68%
3/5/2025,208.36,204.8,209.98,203.26,38.61M,2.24%
3/4/2025,203.8,200.11,206.8,197.43,60.85M,-0.60%
3/3/2025,205.02,213.35,214.01,202.55,42.95M,-3.42%
2/28/2025,212.28,208.65,212.62,206.99,51.77M,1.70%
2/27/2025,208.74,218.35,219.97,208.37,40.55M,-2.62%
2/26/2025,214.35,214.94,218.16,213.09,39.12M,0.73%
2/25/2025,212.8,211.63,213.34,204.16,58.96M,0.04%
2/24/2025,212.71,217.45,217.71,212.42,42.39M,-1.79%
2/21/2025,216.58,223.28,223.31,214.74,55.32M,-2.83%
2/20/2025,222.88,224.77,225.13,221.81,30.00M,-1.65%
2/19/2025,226.63,225.52,226.83,223.71,28.57M,-0.01%
2/18/2025,226.65,228.82,229.3,223.72,42.98M,-0.89%
2/14/2025,228.68,229.2,229.89,227.23,27.03M,-0.73%
2/13/2025,230.37,228.85,230.42,227.52,31.35M,0.63%
2/12/2025,228.93,230.46,231.18,228.16,32.29M,-1.65%
2/11/2025,232.76,231.92,233.44,230.13,23.71M,-0.16%
2/10/2025,233.14,230.54,233.92,229.2,35.42M,1.74%
2/7/2025,229.15,232.5,234.81,228.06,77.54M,-4.05%
2/6/2025,238.83,238.01,239.66,236.01,60.90M,1.13%
2/5/2025,236.17,237.02,238.32,235.2,38.83M,-2.43%
2/4/2025,242.06,239.01,242.52,238.03,29.71M,1.95%
2/3/2025,237.42,234.06,239.25,232.9,37.29M,-0.11%
1/31/2025,237.68,236.5,240.29,236.41,36.16M,1.30%
1/30/2025,234.64,237.14,237.95,232.22,32.02M,-1.03%
1/29/2025,237.07,239.01,240.39,236.15,26.09M,-0.45%
1/28/2025,238.15,234.29,241.77,233.98,41.59M,1.16%
1/27/2025,235.42,226.21,235.61,225.86,49.43M,0.24%
1/24/2025,234.85,234.5,236.4,232.93,25.89M,-0.24%
1/23/2025,235.42,234.1,235.52,231.51,26.40M,0.17%
1/22/2025,235.01,232.02,235.44,231.19,41.45M,1.86%
1/21/2025,230.71,228.9,231.78,226.94,39.95M,2.11%
1/17/2025,225.94,225.84,226.51,223.08,42.37M,2.39%
