Date,Close,Open,High,Low,Volume
3/21/2025,218.27,211.56,218.84,211.28,94127770
3/20/2025,214.1,213.99,217.49,212.22,48862950
3/19/2025,215.24,214.22,218.76,213.75,54385390
3/18/2025,212.69,214.16,215.15,211.49,42432430
3/17/2025,214,213.31,215.22,209.97,48073430
3/14/2025,213.49,211.25,213.95,209.58,60107580
3/13/2025,209.68,215.95,216.84,208.42,61368330
3/12/2025,216.98,220.14,221.75,214.91,62547470
3/11/2025,220.84,223.81,225.84,217.45,76137410
3/10/2025,227.48,235.54,236.16,224.22,72071200
3/7/2025,239.07,235.11,241.37,234.76,46273570
3/6/2025,235.33,234.44,237.86,233.16,45170420
3/5/2025,235.74,235.42,236.55,229.23,47227640
3/4/2025,235.93,237.71,240.07,234.68,53798060
3/3/2025,238.03,241.79,244.03,236.11,47183990
2/28/2025,241.84,236.95,242.09,230.2,56833360
2/27/2025,237.3,239.41,242.46,237.06,41153640
2/26/2025,240.36,244.33,244.98,239.13,44433560
2/25/2025,247.04,248,250,244.91,48013270
2/24/2025,247.1,244.93,248.86,244.42,51326400
2/21/2025,245.55,245.95,248.69,245.22,53197430
2/20/2025,245.83,244.94,246.78,244.29,32316910
2/19/2025,244.87,244.66,246.01,243.16,32204220
2/18/2025,244.47,244.15,245.18,241.84,48822490
2/14/2025,244.6,241.25,245.55,240.99,40896230
2/13/2025,241.53,236.91,242.34,235.57,53614050
2/12/2025,236.87,231.2,236.96,230.68,45243290
2/11/2025,232.62,228.2,235.23,228.13,53718360
2/10/2025,227.65,229.57,230.59,227.2,33115650
2/7/2025,227.63,232.6,234,227.26,39707220
2/6/2025,233.22,231.29,233.8,230.43,29925350
2/5/2025,232.47,228.53,232.67,228.27,39664990
2/4/2025,232.8,227.25,233.13,226.65,45067300
2/3/2025,228.01,229.99,231.83,225.7,73063300
1/31/2025,236,247.19,247.19,233.44,101075100
1/30/2025,237.59,238.67,240.79,237.21,55658280
1/29/2025,239.36,234.12,239.86,234.01,45486100
1/28/2025,238.26,230.85,240.19,230.81,75707570
1/27/2025,229.86,224.02,232.15,223.98,94863420
1/24/2025,222.78,224.78,225.63,221.41,54697910
1/23/2025,223.66,224.74,227.03,222.3,60234760
1/22/2025,223.83,219.79,224.12,219.79,64126500
1/21/2025,222.64,224,224.42,219.38,98070430
1/17/2025,229.98,232.12,232.29,228.48,68488300
1/16/2025,228.26,237.35,238.01,228.03,71759050
1/15/2025,237.87,234.64,238.96,234.43,39831970
1/14/2025,233.28,234.75,236.12,232.47,39435290
1/13/2025,234.4,233.53,234.67,229.72,49630730
1/10/2025,236.85,240.01,240.16,233,61710860
1/8/2025,242.7,241.92,243.71,240.05,37628940
1/7/2025,242.21,242.98,245.55,241.35,40855960
1/6/2025,245,244.31,247.33,243.2,45045570
1/3/2025,243.36,243.36,244.18,241.89,40244110
1/2/2025,243.85,248.93,249.1,241.82,55740730
12/31/2024,250.42,252.44,253.28,249.43,39480720
12/30/2024,252.2,252.23,253.5,250.75,35557540
12/27/2024,255.59,257.83,258.7,253.06,42355320
12/26/2024,259.02,258.19,260.1,257.63,27262980
12/24/2024,258.2,255.49,258.21,255.29,23234710
12/23/2024,255.27,254.77,255.65,253.45,40858770
12/20/2024,254.49,248.04,255,245.69,147495300
12/19/2024,249.79,247.5,252,247.09,60882260
12/18/2024,248.05,252.16,254.28,247.74,56774100
12/17/2024,253.48,250.08,253.83,249.78,51356360
12/16/2024,251.04,247.99,251.38,247.65,51694750
12/13/2024,248.13,247.82,249.29,246.24,33155290
12/12/2024,247.96,246.89,248.74,245.68,32777530
12/11/2024,246.49,247.96,250.8,246.26,45205810
12/10/2024,247.77,246.89,248.21,245.34,36914810
12/9/2024,246.75,241.83,247.24,241.75,44649230
12/6/2024,242.84,242.91,244.63,242.08,36870620
12/5/2024,243.04,243.99,244.54,242.13,40033880
12/4/2024,243.01,242.87,244.11,241.25,44383940
12/3/2024,242.65,239.81,242.76,238.9,38861020
12/2/2024,239.59,237.27,240.79,237.16,48137100
11/29/2024,237.33,234.81,237.81,233.97,28481380
11/27/2024,234.93,234.47,235.69,233.81,33498440
11/26/2024,235.06,233.33,235.57,233.33,45986190
11/25/2024,232.87,231.46,233.25,229.74,90152830
11/22/2024,229.87,228.06,230.72,228.06,38168250
11/21/2024,228.52,228.88,230.16,225.71,42108330
11/20/2024,229,228.06,229.93,225.89,35169570
11/19/2024,228.28,226.98,230.16,226.66,36211770
11/18/2024,228.02,225.25,229.74,225.17,44686020
11/15/2024,225,226.4,226.92,224.27,47923700
11/14/2024,228.22,225.02,228.87,225,44923940
11/13/2024,225.12,224.01,226.65,222.76,48566220
11/12/2024,224.23,224.55,225.59,223.36,40398300
11/11/2024,224.23,225,225.7,221.5,42005600
11/8/2024,226.96,227.17,228.66,226.41,38328820
11/7/2024,227.48,224.63,227.88,224.57,42137690
11/6/2024,222.72,222.61,226.07,221.19,54561120
11/5/2024,223.45,221.8,223.95,221.14,28111340
11/4/2024,222.01,220.99,222.79,219.71,44944470
11/1/2024,222.91,220.97,225.35,220.27,65276740
10/31/2024,225.91,229.34,229.83,225.37,64370090
10/30/2024,230.1,232.61,233.47,229.55,47070910
10/29/2024,233.67,233.1,234.33,232.32,35417250
10/28/2024,233.4,233.32,234.73,232.55,36087130
10/25/2024,231.41,229.74,233.22,229.57,38802300
10/24/2024,230.57,229.98,230.82,228.41,31109500
10/23/2024,230.76,234.08,235.14,227.76,52286980
10/22/2024,235.86,233.89,236.22,232.6,38846580
10/21/2024,236.48,234.45,236.85,234.45,36254470
10/18/2024,235,236.18,236.18,234.01,46431470
10/17/2024,232.15,233.43,233.85,230.52,32993810
10/16/2024,231.78,231.6,232.12,229.84,34082240
10/15/2024,233.85,233.61,237.49,232.37,64751370
10/14/2024,231.3,228.7,231.73,228.6,39882090
10/11/2024,227.55,229.3,229.41,227.34,31759190
10/10/2024,229.04,227.78,229.5,227.17,28183540
10/9/2024,229.54,225.23,229.75,224.83,33591090
10/8/2024,225.77,224.3,225.98,223.25,31855690
10/7/2024,221.69,224.5,225.69,221.33,39505350
10/4/2024,226.8,227.9,228,224.13,37345100
10/3/2024,225.67,225.14,226.81,223.32,34044160
10/2/2024,226.78,225.89,227.37,223.02,32880610
10/1/2024,226.21,229.52,229.65,223.74,63285050
9/30/2024,233,230.04,233,229.65,54793390
9/27/2024,227.79,228.46,229.52,227.3,34025970
9/26/2024,227.52,227.3,228.5,225.41,36636710
9/25/2024,226.37,224.93,227.29,224.02,42308720
9/24/2024,227.37,228.65,229.35,225.73,43556070
9/23/2024,226.47,227.34,229.45,225.81,54146020
9/20/2024,228.2,229.97,233.09,227.62,318679900
9/19/2024,228.87,224.99,229.82,224.63,66781320
9/18/2024,220.69,217.55,222.71,217.54,59894930
9/17/2024,216.79,215.75,216.9,214.5,45519340
9/16/2024,216.32,216.54,217.22,213.92,59357430
9/13/2024,222.5,223.58,224.04,221.91,36766620
9/12/2024,222.77,222.5,223.55,219.82,37498230
9/11/2024,222.66,221.46,223.09,217.89,44587070
9/10/2024,220.11,218.92,221.48,216.73,51591030
9/9/2024,220.91,220.82,221.27,216.71,67179970
9/6/2024,220.82,223.95,225.24,219.77,48423010
