Date,Close,Open,High,Low,Vol.,Change %
3/21/2025,248.71,234.99,249.52,234.55,132.73M,5.27%
3/20/2025,236.26,233.35,238,230.05,99.03M,0.17%
3/19/2025,235.86,231.61,241.41,229.2,111.99M,4.68%
3/18/2025,225.31,228.15,230.1,222.28,111.48M,-5.34%
3/17/2025,238.01,245.05,245.4,232.8,111.90M,-4.79%
3/14/2025,249.98,247.31,251.58,240.73,100.24M,3.86%
3/13/2025,240.68,248.13,248.29,232.6,114.81M,-2.99%
3/12/2025,248.09,247.22,251.84,241.1,142.22M,7.59%
3/11/2025,230.58,225.3,237.06,217.02,174.90M,3.79%
3/10/2025,222.15,252.54,253.37,220,189.08M,-15.43%
3/7/2025,262.67,259.32,266.25,250.73,102.37M,-0.30%
3/6/2025,263.45,272.06,272.65,260.02,98.45M,-5.61%
3/5/2025,279.1,272.92,279.55,267.71,94.04M,2.60%
3/4/2025,272.04,270.93,284.35,261.84,126.71M,-4.43%
3/3/2025,284.65,300.34,303.94,277.3,115.55M,-2.84%
2/28/2025,292.98,279.5,293.88,273.6,115.70M,3.91%
2/27/2025,281.95,291.16,297.23,280.88,101.75M,-3.04%
2/26/2025,290.8,303.71,309,288.04,100.12M,-3.96%
2/25/2025,302.8,327.02,328.89,297.25,134.23M,-8.39%
2/24/2025,330.53,338.14,342.4,324.7,76.05M,-2.15%
2/21/2025,337.8,353.44,354.98,334.42,74.06M,-4.68%
2/20/2025,354.4,361.51,362.3,348,45.97M,-1.71%
2/19/2025,360.56,354,367.34,353.67,67.09M,1.82%
2/18/2025,354.11,355.01,359.1,350.02,51.63M,-0.49%
2/14/2025,355.84,360.62,362,347.5,68.28M,-0.03%
2/13/2025,355.94,345,358.69,342.85,89.44M,5.77%
2/12/2025,336.51,329.94,346.4,329.12,105.38M,2.44%
2/11/2025,328.5,345.8,349.37,325.1,118.54M,-6.34%
2/10/2025,350.73,356.21,362.7,350.51,77.51M,-3.01%
2/7/2025,361.62,370.19,380.55,360.34,70.30M,-3.39%
2/6/2025,374.32,373.03,375.4,363.18,77.92M,-1.02%
2/5/2025,378.17,387.51,388.39,375.53,57.61M,-3.58%
2/4/2025,392.21,382.63,394,381.4,57.07M,2.22%
2/3/2025,383.68,386.68,389.17,374.36,93.73M,-5.17%
1/31/2025,404.6,401.53,419.99,401.34,83.57M,1.08%
1/30/2025,400.28,410.78,412.5,384.41,98.09M,2.87%
1/29/2025,389.1,395.21,398.59,384.48,68.03M,-2.26%
1/28/2025,398.09,396.91,400.59,386.5,48.91M,0.24%
