Date,Close,Open,High,Low,Vol.,Change %
3/21/2025,"2,057.65","2,044.30","2,062.69","2,035.65",,-0.53%
3/20/2025,"2,068.63","2,068.60","2,089.98","2,060.49",,-0.65%
3/19/2025,"2,082.08","2,051.28","2,092.03","2,051.28",,1.57%
3/18/2025,"2,049.94","2,060.97","2,060.97","2,043.87",,-0.89%
3/17/2025,"2,068.33","2,041.52","2,073.92","2,039.96",,1.19%
3/14/2025,"2,044.10","2,008.53","2,044.51","2,008.53",,2.53%
3/13/2025,"1,993.69","2,026.08","2,031.16","1,984.92",,-1.62%
3/12/2025,"2,026.47","2,037.91","2,050.21","2,012.57",,0.14%
3/11/2025,"2,023.59","2,022.52","2,043.49","2,001.19",,0.22%
3/10/2025,"2,019.07","2,058.09","2,058.09","2,003.42",,-2.72%
3/7/2025,"2,075.48","2,065.50","2,084.40","2,033.69",,0.43%
3/6/2025,"2,066.55","2,081.57","2,093.39","2,055.42",,-1.63%
3/5/2025,"2,100.75","2,080.49","2,102.95","2,066.15",,1.02%
3/4/2025,"2,079.53","2,083.70","2,112.10","2,048.01",,-1.08%
3/3/2025,"2,102.24","2,168.02","2,173.57","2,092.17",,-2.81%
2/28/2025,"2,163.07","2,135.59","2,163.23","2,126.08",,1.09%
2/27/2025,"2,139.66","2,175.13","2,177.79","2,139.41",,-1.59%
2/26/2025,"2,174.17","2,175.44","2,199.92","2,166.86",,0.19%
2/25/2025,"2,170.08","2,180.47","2,184.76","2,154.35",,-0.38%
2/24/2025,"2,178.27","2,200.71","2,202.06","2,169.54",,-0.78%
2/21/2025,"2,195.35","2,275.96","2,282.63","2,194.11",,-2.94%
2/20/2025,"2,261.74","2,280.30","2,280.30","2,250.11",,-0.91%
2/19/2025,"2,282.46","2,278.29","2,288.75","2,273.63",,-0.34%
2/18/2025,"2,290.35","2,281.56","2,294.59","2,277.17",,0.45%
2/14/2025,"2,279.98","2,287.85","2,297.71","2,276.63",,-0.10%
2/13/2025,"2,282.18","2,264.83","2,282.42","2,259.07",,1.17%
2/12/2025,"2,255.89","2,250.71","2,262.57","2,240.51",,-0.87%
2/11/2025,"2,275.70","2,278.16","2,282.21","2,270.89",,-0.53%
2/10/2025,"2,287.94","2,289.38","2,294.71","2,281.65",,0.36%
