Date,Close,Open,High,Low,Vol.,Change %
3/21/2025,64.4,64.51,64.53,64.33,737.55K,-0.31%
3/20/2025,64.6,64.78,64.86,64.54,1.19M,-0.14%
3/19/2025,64.69,64.39,64.75,64.33,484.08K,0.53%
3/18/2025,64.35,64.26,64.4,64.21,676.46K,0.02%
3/17/2025,64.34,64.29,64.39,64.25,1.37M,0.26%
3/14/2025,64.17,64.14,64.22,64.11,256.46K,0.05%
3/13/2025,64.14,64.17,64.17,64.01,250.13K,-0.14%
3/12/2025,64.23,64.27,64.35,64.21,708.00K,0.00%
3/11/2025,64.23,64.44,64.44,64.22,717.90K,-0.22%
3/10/2025,64.37,64.48,64.49,64.29,2.01M,0.03%
3/7/2025,64.35,64.42,64.43,64.3,318.27K,0.17%
3/6/2025,64.24,64.27,64.32,64.18,364.80K,-0.46%
3/5/2025,64.54,64.68,64.74,64.46,701.90K,-0.08%
3/4/2025,64.59,64.66,64.7,64.53,540.05K,-0.28%
3/3/2025,64.77,64.64,64.83,64.59,1.04M,-0.57%
2/28/2025,65.14,64.93,65.16,64.84,498.96K,0.59%
2/27/2025,64.76,64.86,64.89,64.75,244.01K,-0.28%
2/26/2025,64.94,64.88,64.98,64.82,219.47K,0.23%
2/25/2025,64.79,64.68,64.79,64.6,315.90K,0.67%
2/24/2025,64.36,64.33,64.44,64.29,214.16K,0.11%
2/21/2025,64.29,64.33,64.43,64.27,448.13K,0.05%
2/20/2025,64.26,64.18,64.3,64.14,900.32K,0.12%
2/19/2025,64.18,64.03,64.2,64.01,630.87K,0.05%
2/18/2025,64.15,64.3,64.31,64.11,803.49K,-0.39%
2/14/2025,64.4,64.42,64.53,64.38,608.09K,0.37%
2/13/2025,64.16,63.97,64.22,63.97,390.17K,0.71%
2/12/2025,63.71,63.58,63.83,63.44,389.80K,-0.36%
2/11/2025,63.94,64,64.02,63.9,644.20K,-0.37%
2/10/2025,64.18,64.22,64.3,64.11,646.61K,-0.03%
2/7/2025,64.2,64.24,64.3,64.17,741.43K,-0.31%
2/6/2025,64.4,64.38,64.45,64.32,433.12K,0.02%
2/5/2025,64.39,64.3,64.46,64.26,614.77K,0.50%
2/4/2025,64.07,63.81,64.09,63.81,717.13K,0.27%
2/3/2025,63.9,63.75,64.02,63.7,1.30M,-0.44%
1/31/2025,64.18,64.37,64.44,64.07,1.50M,-0.23%
1/30/2025,64.33,64.35,64.43,64.24,368.47K,0.37%
1/29/2025,64.09,64.26,64.27,63.93,363.82K,-0.03%
1/28/2025,64.11,64.06,64.15,63.98,394.26K,-0.12%
1/27/2025,64.19,64.08,64.2,64.04,561.09K,0.36%
1/24/2025,63.96,63.92,64.03,63.89,264.17K,0.16%
1/23/2025,63.86,63.72,63.88,63.69,647.15K,0.00%
1/22/2025,63.86,64.12,64.12,63.86,965.49K,-0.23%
1/21/2025,64.01,63.94,64.03,63.86,667.16K,0.57%
1/17/2025,63.65,63.77,63.79,63.61,192.22K,0.16%
1/16/2025,63.55,63.5,63.64,63.39,269.57K,-0.08%
1/15/2025,63.6,63.61,63.72,63.48,1.01M,1.05%
1/14/2025,62.94,62.89,62.97,62.79,417.23K,0.11%
1/13/2025,62.87,62.76,62.93,62.75,717.80K,-0.19%
1/10/2025,62.99,63,63.12,62.89,526.49K,-0.49%
1/8/2025,63.3,63.21,63.3,63.1,685.74K,0.11%
1/7/2025,63.23,63.59,63.59,63.2,607.69K,-0.46%
1/6/2025,63.52,63.52,63.58,63.4,826.94K,0.11%
1/3/2025,63.45,63.58,63.65,63.43,360.09K,0.21%
1/2/2025,63.32,63.39,63.45,63.14,838.75K,0.27%
12/31/2024,63.15,63.39,63.41,63,354.95K,-0.25%
12/30/2024,63.31,63.39,63.46,63.31,246.18K,0.06%
12/27/2024,63.27,63.35,63.37,63.19,296.64K,-0.24%
12/26/2024,63.42,63.27,63.46,63.25,220.93K,-0.08%
12/24/2024,63.47,63.22,63.47,63.19,138.01K,-0.09%
12/23/2024,63.53,63.73,63.77,63.49,377.68K,-0.27%
12/20/2024,63.7,63.69,63.89,63.56,383.60K,0.62%
12/19/2024,63.31,63.71,63.72,63.29,893.77K,-0.33%
12/18/2024,63.52,64.39,64.45,63.51,378.83K,-1.43%
12/17/2024,64.44,64.39,64.57,64.35,334.64K,-0.09%
12/16/2024,64.5,64.58,64.59,64.37,1.07M,0.06%
12/13/2024,64.46,64.81,64.81,64.44,616.59K,-0.52%
12/12/2024,64.8,65.08,65.09,64.79,643.59K,-0.43%
12/11/2024,65.08,65.29,65.33,65.06,539.16K,-0.03%
12/10/2024,65.1,65.08,65.24,65.08,840.97K,-0.23%
12/9/2024,65.25,65.35,65.37,65.25,1.04M,-0.15%
12/6/2024,65.35,65.44,65.47,65.3,827.63K,0.32%
12/5/2024,65.14,65.06,65.22,65.04,928.12K,0.18%
12/4/2024,65.02,64.86,65.1,64.82,1.04M,0.34%
12/3/2024,64.8,64.94,64.96,64.8,736.10K,-0.03%
12/2/2024,64.82,64.6,64.93,64.6,1.13M,-0.66%
11/29/2024,65.25,65.2,65.32,65.19,262.78K,0.34%
11/27/2024,65.03,65.07,65.14,64.98,509.51K,0.31%
11/26/2024,64.83,64.82,64.85,64.71,1.17M,-0.17%
11/25/2024,64.94,64.95,64.95,64.8,3.44M,0.95%
11/22/2024,64.33,64.48,64.58,64.33,3.20M,-0.19%
11/21/2024,64.45,64.55,64.59,64.42,366.71K,0.05%
11/20/2024,64.42,64.33,64.45,64.25,404.34K,0.02%
11/19/2024,64.41,64.17,64.5,64.17,396.73K,0.47%
11/18/2024,64.11,63.95,64.2,63.92,559.61K,-0.02%
11/15/2024,64.12,64.04,64.17,63.92,674.79K,-0.14%
11/14/2024,64.21,64.43,64.49,64.17,582.76K,-0.16%
11/13/2024,64.31,64.61,64.61,64.26,199.82K,-0.08%
11/12/2024,64.36,64.5,64.64,64.26,326.83K,-0.80%
11/11/2024,64.88,64.92,64.92,64.79,217.96K,-0.09%
