Date,Close,Open,High,Low,Vol.,Change %
3/21/2025,22.92,22.97,22.98,22.91,8.37M,-0.07%
3/20/2025,22.93,23.01,23.01,22.92,7.27M,0.09%
3/19/2025,22.92,22.85,22.92,22.81,6.95M,0.22%
3/18/2025,22.86,22.81,22.89,22.81,8.29M,0.13%
3/17/2025,22.83,22.86,22.9,22.82,15.62M,0.07%
3/14/2025,22.82,22.84,22.86,22.81,65.04M,-0.26%
3/13/2025,22.88,22.79,22.9,22.77,36.93M,0.33%
3/12/2025,22.81,22.81,22.86,22.8,54.02M,-0.26%
3/11/2025,22.86,22.92,22.97,22.84,21.95M,-0.26%
3/10/2025,22.92,22.9,22.96,22.89,24.01M,0.53%
3/7/2025,22.81,22.91,22.92,22.79,16.62M,-0.13%
3/6/2025,22.83,22.84,22.87,22.77,13.89M,-0.02%
3/5/2025,22.84,22.94,22.96,22.83,17.30M,-0.39%
3/4/2025,22.93,23.01,23.06,22.9,10.69M,-0.24%
3/3/2025,22.99,22.88,23,22.86,6.40M,-0.07%
2/28/2025,23,22.94,23,22.91,7.23M,0.46%
2/27/2025,22.9,22.86,22.91,22.85,6.45M,-0.11%
2/26/2025,22.92,22.86,22.93,22.84,20.75M,0.24%
2/25/2025,22.86,22.83,22.88,22.82,6.17M,0.57%
2/24/2025,22.74,22.67,22.75,22.67,6.29M,0.18%
2/21/2025,22.69,22.62,22.72,22.61,6.36M,0.44%
2/20/2025,22.59,22.58,22.62,22.58,9.21M,0.13%
2/19/2025,22.57,22.53,22.58,22.52,4.77M,0.13%
2/18/2025,22.53,22.57,22.6,22.53,6.81M,-0.40%
2/14/2025,22.63,22.63,22.67,22.62,7.69M,0.31%
2/13/2025,22.56,22.52,22.57,22.51,5.28M,0.56%
2/12/2025,22.43,22.44,22.45,22.4,8.14M,-0.53%
2/11/2025,22.55,22.55,22.57,22.54,5.18M,-0.15%
2/10/2025,22.58,22.61,22.64,22.58,22.88M,-0.02%
2/7/2025,22.59,22.61,22.62,22.57,5.28M,-0.31%
2/6/2025,22.66,22.65,22.69,22.63,6.96M,-0.04%
2/5/2025,22.67,22.65,22.71,22.63,5.85M,0.47%
2/4/2025,22.57,22.48,22.57,22.48,7.65M,0.16%
2/3/2025,22.53,22.57,22.62,22.49,14.98M,-0.22%
1/31/2025,22.58,22.6,22.64,22.54,6.44M,-0.09%
1/30/2025,22.6,22.6,22.63,22.58,6.29M,0.18%
1/29/2025,22.56,22.6,22.62,22.52,5.88M,-0.11%
1/28/2025,22.58,22.54,22.59,22.53,5.69M,-0.02%
1/27/2025,22.59,22.58,22.6,22.54,7.69M,0.49%
1/24/2025,22.48,22.43,22.5,22.43,6.87M,0.22%
1/23/2025,22.43,22.42,22.45,22.41,12.74M,-0.22%
1/22/2025,22.48,22.51,22.52,22.46,7.02M,-0.16%
1/21/2025,22.51,22.51,22.53,22.49,11.10M,0.27%
1/17/2025,22.45,22.48,22.49,22.45,4.59M,0.00%
