Risk Ratio,Sell Ratio,Buy Ratio,Sell Interval,Buy Interval,dca interval,Beta,Alpha,Buy Column,Sell Column,Moving Average Days,Profit,DCA Profit,perc diff from DCA
0.193,0.087,0.031,5.249,4.412,2.293,0.062,0.275,3.0,2.0,0.0,-0.0,-63.775,-100.0
0.674,0.035,0.042,6.137,2.165,5.954,0.097,0.285,3.0,2.0,180.0,-0.0,-165.61,-100.0
0.765,0.002,0.011,1.475,4.842,6.466,0.037,0.168,3.0,2.0,170.0,-0.0,-179.864,-100.0
0.56,0.014,0.078,3.923,2.072,4.264,0.094,0.848,3.0,2.0,160.0,-0.0,-118.591,-100.0
0.851,0.053,0.034,6.84,2.236,6.723,0.08,0.69,3.0,2.0,150.0,-0.0,-187.01,-100.0
0.53,0.045,0.09,5.568,5.517,1.182,0.092,0.742,3.0,2.0,140.0,-0.0,-32.888,-100.0
0.439,0.07,0.011,4.328,6.193,6.895,0.066,0.015,3.0,2.0,130.0,-0.0,-191.783,-100.0
0.332,0.029,0.061,5.717,3.356,1.772,0.092,0.084,3.0,2.0,120.0,-0.0,-49.283,-100.0
0.309,0.081,0.08,1.705,2.483,6.715,0.087,0.55,3.0,2.0,110.0,-0.0,-186.783,-100.0
0.883,0.095,0.064,5.083,3.282,3.68,0.09,0.178,3.0,2.0,190.0,-0.0,-102.346,-100.0
0.679,0.074,0.091,4.753,1.009,5.772,0.067,0.864,3.0,2.0,100.0,-0.0,-160.553,-100.0
0.883,0.009,0.062,6.303,1.794,4.384,0.058,0.128,3.0,2.0,80.0,-0.0,-121.931,-100.0
0.524,0.076,0.011,1.037,1.161,4.134,0.087,0.139,3.0,2.0,70.0,-0.0,-114.99,-100.0
0.431,0.046,0.077,2.917,5.37,4.362,0.099,0.674,3.0,2.0,60.0,-0.0,-121.317,-100.0
0.26,0.028,0.055,3.288,1.014,2.68,0.053,0.198,3.0,2.0,50.0,-0.0,-74.532,-100.0
0.992,0.031,0.038,2.969,5.621,6.758,0.062,0.68,3.0,2.0,40.0,-0.0,-187.964,-100.0
0.839,0.096,0.06,2.77,3.027,3.166,0.072,0.497,3.0,2.0,30.0,-0.0,-88.072,-100.0
0.928,0.079,0.041,2.906,4.037,2.207,0.012,0.398,3.0,2.0,20.0,-0.0,-61.382,-100.0
0.7,0.011,0.086,1.118,5.738,3.995,0.029,0.756,3.0,2.0,10.0,-0.0,-111.119,-100.0
0.876,0.031,0.094,3.8,2.818,3.742,0.079,0.933,3.0,2.0,90.0,-0.0,-104.091,-100.0
0.857,0.038,0.015,4.85,3.896,4.964,0.047,0.854,3.0,2.0,200.0,-0.0,-138.074,-100.0
